target,step,module,model_head,candidate,n_components,cv_n,cv_rmse,cv_mae,cv_bias,cv_r2,cv_spearman_r,cv_rounded_within_1_step_pct,cv_rounded_over_1_step_pct,cv_tolerance_loss,cv_step_mse,cv_step_mae,cv_low_n,cv_low_rmse,independent_n,independent_rmse,independent_mae,independent_bias,independent_r2,independent_spearman_r,independent_rounded_within_1_step_pct,independent_rounded_over_1_step_pct,independent_tolerance_loss,independent_step_mse,independent_step_mae,independent_low_n,independent_low_rmse,first_n,process_weight,logistic_c,pooling
eHA,B0,Model baseline,PLSR,eHA_B0_PLSR_full_d1_n3,3,49,1.7810628156316315,1.4319319493509404,-0.13353299943181154,0.47225501714974727,0.7138801335079098,57.14285714285714,42.857142857142854,1.2602040816326532,3.163265306122449,1.4081632653061225,30,1.6913542574502882,8.0,2.5591784854308677,2.4659989253374586,2.4659989253374586,-0.8145508627649467,0.9428975142554231,12.5,87.5,2.94375,6.375,2.375,4.0,2.5688108222647417,,,,
eHA,T0,process-time-only + HA-aware readout,ordinal-threshold probability,eHA_T0_first15_pls0_ptime1_C0p3_poolprob_mean_processonly,0,46,1.7569736827110218,1.434782608695652,-0.13043478260869565,0.4699772801038623,0.7185452620524658,63.04347826086957,36.95652173913043,1.2195652173913043,3.0869565217391304,1.434782608695652,27,1.6777409856157222,,,,,,,,,,,,,,15.0,1.0,0.3,prob_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls8_ptime0_C3_poolstep_mean,8,46,1.034618182040455,0.8304347826086957,-0.13478260869565215,0.8162090230444661,0.9186264962820222,89.13043478260869,10.869565217391305,0.22934782608695653,1.108695652173913,0.8043478260869565,27,1.0110500592068734,,,,,,,,,,,,,,15.0,0.0,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p25_C1_poolstep_mean,8,46,0.9943317616238119,0.8130434782608696,-0.23043478260869568,0.8302434274586172,0.9310750904006705,86.95652173913044,13.043478260869565,0.18152173913043482,1.0217391304347827,0.7608695652173914,27,0.9820613241770824,,,,,,,,,,,,,,15.0,0.25,1.0,step_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls10_ptime0_C3_poolprob_mean,10,46,1.0,0.6956521739130435,-0.21739130434782608,0.8283024991885751,0.9283713177807531,89.13043478260869,10.869565217391305,0.22391304347826088,1.0,0.6956521739130435,27,1.0540925533894598,,,,,,,,,,,,,,15.0,0.0,3.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls10_ptime0p5_C3_poolprob_mean,10,46,1.0,0.782608695652174,-0.21739130434782608,0.8283024991885751,0.9282717191372855,89.13043478260869,10.869565217391305,0.15869565217391304,1.0,0.782608695652174,27,1.0363754503432017,8.0,0.9354143466934853,0.875,0.375,0.7575757575757576,0.9938837346736189,100.0,0.0,0.043750000000000004,0.875,0.875,4.0,0.8660254037844386,15.0,0.5,3.0,prob_mean
tHA,B0,Model baseline,PLSR,tHA_B0_PLSR_full_d1_n8,8,55,1.4998127953498912,1.2020689831497906,0.008611844042708131,0.6913475812477027,0.8940714261367538,65.45454545454545,34.54545454545455,0.9254545454545456,2.5090909090909093,1.2363636363636363,20,1.9240497343224001,8.0,2.8178504407580087,2.4131297716234332,2.4131297716234332,-1.454966139201578,0.7875615306482168,37.5,62.5,4.2562500000000005,7.625,2.375,2.0,4.664882037728329,,,,
tHA,T0,process-time-only + HA-aware readout,ordinal-threshold probability,tHA_T0_first15_pls0_ptime1_C0p3_poolprob_mean_processonly,0,50,2.280350850198276,1.76,-0.56,0.20581587146435332,0.6452529236361443,52.0,48.0,2.78,5.2,1.76,15,1.6931233465600393,,,,,,,,,,,,,,15.0,1.0,0.3,prob_mean
tHA,P0,Probability baseline,ordinal-threshold probability,tHA_P0_first15_pls10_ptime0_C1_poolstep_mean,10,50,1.1131936040060595,0.8759999999999999,-0.204,0.8107398130612744,0.9303827920906694,80.0,20.0,0.32800000000000007,1.36,0.88,15,1.5108496505829647,,,,,,,,,,,,,,15.0,0.0,1.0,step_mean
tHA,P1,P0 + process-time descriptors,ordinal-threshold probability,tHA_P1_first15_pls10_ptime0p25_C3_poolstep_mean,10,50,1.0233279044372825,0.748,-0.14000000000000004,0.8400635347302828,0.9361177775942882,82.0,18.0,0.23700000000000002,1.14,0.78,15,1.4094916341243986,,,,,,,,,,,,,,15.0,0.25,3.0,step_mean
tHA,H1,P0 + HA-aware readout,ordinal-threshold probability,tHA_H1_first15_pls10_ptime0_C3_poolprob_mean,10,50,1.1661903789690602,0.88,-0.24,0.7922903048445231,0.9200109800116872,80.0,20.0,0.32800000000000007,1.36,0.88,15,1.570562531918633,,,,,,,,,,,,,,15.0,0.0,3.0,prob_mean
tHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,tHA_H2_first15_pls10_ptime0p25_C3_poolprob_mean,10,50,1.0392304845413265,0.72,-0.16,0.8350540656118273,0.9271338106638197,82.0,18.0,0.234,1.08,0.72,15,1.4142135623730951,8.0,1.118033988749895,0.5,-0.5,0.6135265700483092,1.0,87.5,12.5,0.5625,1.25,0.5,2.0,2.23606797749979,15.0,0.25,3.0,prob_mean
