group,model,n,rmse,panel
pre,PLSR,27,0.6577194923163839,E
0-48 h,PLSR,28,0.7024695292888202,E
48-96 h,PLSR,20,0.5010136796715613,E
>96 h,PLSR,16,0.5527989125352555,E
pre,Retained Dim model,27,0.19172098259426146,E
0-48 h,Retained Dim model,28,0.6415194597018034,E
48-96 h,Retained Dim model,20,0.3232016280086465,E
>96 h,Retained Dim model,16,0.36327888224585614,E
low,PLSR,30,0.647699295151706,F
middle,PLSR,38,0.48112727811349854,F
high-tail,PLSR,23,0.780883476213754,F
low,Retained Dim model,30,0.31039156961528436,F
middle,Retained Dim model,38,0.3225763155583459,F
high-tail,Retained Dim model,23,0.6551499631734518,F
