process_variable,inoculation_aligned_stage,n,mean_signed_residual_range_pct
Dim,pre,27,5.106982549547017
Dim,0-48 h,28,-3.1874293592589744
Dim,48-96 h,20,-9.576364388572365
Dim,>96 h,16,8.037331295612496
Glc,pre,14,-0.8307966374624038
Glc,0-48 h,23,-0.394077366011347
Glc,48-96 h,16,-0.2608092766403567
Glc,>96 h,14,1.8922331721913839
Gln,pre,14,0.08142372630149992
Gln,0-48 h,23,-0.8290541892085822
Gln,48-96 h,16,2.0517248322607236
Gln,>96 h,14,-1.2849690434317236
NH4,pre,14,-1.0824265254722132
NH4,0-48 h,23,0.6007666613491479
NH4,48-96 h,16,0.6995307976662075
NH4,>96 h,14,-1.1453393121235134
VCD,pre,27,-2.3729117509525386
VCD,0-48 h,28,0.7062867544243909
VCD,48-96 h,20,-3.0989778481559647
VCD,>96 h,16,5.760526116419088
Via,pre,27,-2.1307762155832966
Via,0-48 h,28,-1.9052510799991822
Via,48-96 h,20,-5.9733252985949985
Via,>96 h,16,8.82356759649141
eHA,pre,0,
eHA,0-48 h,13,2.8523407421839315
eHA,48-96 h,20,1.2204282905353678
eHA,>96 h,16,-8.95487235069269
tHA,pre,0,
tHA,0-48 h,19,4.675015510222299
tHA,48-96 h,20,-5.3096543719814004
tHA,>96 h,16,1.3815191855558673
